SimNr;Rep;Ni;r;K;N_A_fix;N_a_fix;N_B_fix;N_b_fix;s_A;s_B;attempts;h_A;h_B;p_A_i;p_B_i;Prob_A_fix;sd_A_fix;Aver_A_gen;sd_A_gen;Prob_a_fix;sd_a_fix;Aver_a_gen;sd_a_gen;Prob_B_fix;sd_B_fix;Aver_B_gen;sd_B_gen;Prob_b_fix;sd_b_fix;Aver_b_gen;sd_b_gen;Total_Gens
1;16;10;0.06;1000;914.44;611.18;909.47;691.94;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87100000;0.01059995;254.59931114;189.83529377;0.12900000;0.01059995;24.24031008;17.76320349;0.84300000;0.01150439;364.07117438;264.68762163;0.15700000;0.01150439;31.28662420;49.28650814;405.75
1;17;10;0.06;1000;902.97;680.47;915.92;651.91;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87900000;0.01031305;249.01137656;185.00435652;0.12100000;0.01031305;26.03305785;32.91911798;0.84900000;0.01132250;341.77149588;253.37540799;0.15100000;0.01132250;30.31125828;39.03643831;387.03
1;18;10;0.06;1000;901.29;659.78;901.15;653.34;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.86500000;0.01080625;250.76069364;187.91139673;0.13500000;0.01080625;23.01481481;16.94347255;0.86900000;0.01066954;343.79171461;261.63261714;0.13100000;0.01066954;29.75572519;37.73938182;394.13
1;19;10;0.06;1000;910.05;683.16;911.64;695.09;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.90200000;0.00940191;257.23503326;187.99525332;0.09800000;0.00940191;25.00000000;25.20123094;0.89000000;0.00989444;352.28651685;264.48310823;0.11000000;0.00989444;32.88181818;41.25656572;409.57
1;20;10;0.06;1000;903.84;651.63;908.36;684.10;0.03;0.02;1000;0.50000000;0.50000000;0.50000000;0.50000000;0.87300000;0.01052953;257.96792669;182.69877405;0.12700000;0.01052953;24.43307087;24.29302435;0.83700000;0.01168037;357.37873357;261.53707254;0.16300000;0.01168037;33.96932515;56.34865427;392.84
2;1;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1173.76000000;290.37129059;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1175.85800000;291.00477631;0.00000000;0.00000000;nan;nan;1329.61
2;2;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1177.49500000;286.21258878;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1186.08500000;300.09929319;0.00000000;0.00000000;nan;nan;1339.08
2;3;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1170.61200000;275.16151885;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1183.54400000;287.65971922;0.00000000;0.00000000;nan;nan;1332.03
2;4;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1200.41600000;276.63310529;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1185.54600000;285.02936670;0.00000000;0.00000000;nan;nan;1352.79
2;5;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1175.69800000;285.91492230;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1172.73900000;274.74772952;0.00000000;0.00000000;nan;nan;1330.14
2;6;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1184.19600000;269.73253342;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1187.36000000;282.34497056;0.00000000;0.00000000;nan;nan;1336.84
2;7;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1184.21300000;296.27801409;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1188.51100000;293.28043896;0.00000000;0.00000000;nan;nan;1345.61
2;8;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1172.01400000;281.55109271;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1185.79300000;291.92092448;0.00000000;0.00000000;nan;nan;1330.52
2;9;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1178.67600000;281.75952694;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1181.13000000;296.02523727;0.00000000;0.00000000;nan;nan;1336.52
2;10;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1193.79900000;301.59341272;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1180.17300000;292.56778543;0.00000000;0.00000000;nan;nan;1351.09
2;11;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1183.00000000;291.42722248;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1172.36300000;278.29524472;0.00000000;0.00000000;nan;nan;1335.29
2;12;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1170.99400000;276.78026296;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1189.93100000;285.65056667;0.00000000;0.00000000;nan;nan;1335.43
2;13;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1170.43400000;295.20576154;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1187.24100000;284.61761878;0.00000000;0.00000000;nan;nan;1336.87
2;14;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1166.34200000;293.30645243;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1179.67300000;285.43807747;0.00000000;0.00000000;nan;nan;1334.15
2;15;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1187.21200000;284.48097134;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1189.81800000;301.59312472;0.00000000;0.00000000;nan;nan;1350.47
2;16;100;0.08;10000;9994.00;nan;9994.00;nan;0.01;0.01;1000;0.50000000;0.50000000;0.50000000;0.50000000;1.00000000;0.00000000;1175.67800000;286.58702398;0.00000000;0.00000000;nan;nan;1.00000000;0.00000000;1177.56700000;291.49488076;0.00000000;0.00000000;nan;nan;1329.96
